Alabama
  Autauga County, AL (fips:01001)
    G-AL                              Ivey, Kay (GOP)      13981
                                   Maddox, Walt (Dem)       5726
    H-AL-02                      Isner, Tabitha (Dem)       6210
                                   Roby, Martha (GOP)      13389
  Baldwin County, AL (fips:01003)
    G-AL                              Ivey, Kay (GOP)      57091
                                   Maddox, Walt (Dem)      20363
    H-AL-01                      Byrne, Bradley (GOP)      59655
                                Kennedy, Robert (Dem)      17692
  Barbour County, AL (fips:01005)
    G-AL                              Ivey, Kay (GOP)       4310
                                   Maddox, Walt (Dem)       3988
    H-AL-02                      Isner, Tabitha (Dem)       4108
                                   Roby, Martha (GOP)       4166
  Bibb County, AL (fips:01007)
    G-AL                              Ivey, Kay (GOP)       5082
                                   Maddox, Walt (Dem)       1796
    H-AL-06                       Kline, Danner (Dem)       1559
                                   Palmer, Gary (GOP)       5296
  Blount County, AL (fips:01009)
    G-AL                              Ivey, Kay (GOP)      16975
                                   Maddox, Walt (Dem)       2476
    H-AL-04                    Aderholt, Robert (GOP)       1301
                                     Auman, Lee (Dem)        120
    H-AL-06                       Kline, Danner (Dem)       1834
                                   Palmer, Gary (GOP)      16109
  Bullock County, AL (fips:01011)
    G-AL                              Ivey, Kay (GOP)        947
                                   Maddox, Walt (Dem)       2729
    H-AL-02                      Isner, Tabitha (Dem)       2829
                                   Roby, Martha (GOP)        849
  Butler County, AL (fips:01013)
    G-AL                              Ivey, Kay (GOP)       4790
                                   Maddox, Walt (Dem)       3348
    H-AL-02                      Isner, Tabitha (Dem)       3677
                                   Roby, Martha (GOP)       4395
  Calhoun County, AL (fips:01015)
    G-AL                              Ivey, Kay (GOP)      24399
                                   Maddox, Walt (Dem)      12450
    H-AL-03                      Hagan, Mallory (Dem)      12143
                                   Rogers, Mike (GOP)      24632
  Chambers County, AL (fips:01017)
    G-AL                              Ivey, Kay (GOP)       6670
                                   Maddox, Walt (Dem)       4616
    H-AL-03                      Hagan, Mallory (Dem)       4768
                                   Rogers, Mike (GOP)       6507
  Cherokee County, AL (fips:01019)
    G-AL                              Ivey, Kay (GOP)       6972
                                   Maddox, Walt (Dem)       1549
    H-AL-03                      Hagan, Mallory (Dem)       1276
                                   Rogers, Mike (GOP)       6576
    H-AL-04                    Aderholt, Robert (GOP)        513
                                     Auman, Lee (Dem)         86
  Chilton County, AL (fips:01021)
    G-AL                              Ivey, Kay (GOP)      11283
                                   Maddox, Walt (Dem)       2494
    H-AL-06                       Kline, Danner (Dem)       2191
                                   Palmer, Gary (GOP)      11490
  Choctaw County, AL (fips:01023)
    G-AL                              Ivey, Kay (GOP)       3470
                                   Maddox, Walt (Dem)       2648
    H-AL-07                       Sewell, Terri (Dem)          0
  Clarke County, AL (fips:01025)
    G-AL                              Ivey, Kay (GOP)       6313
                                   Maddox, Walt (Dem)       4865
    H-AL-01                      Byrne, Bradley (GOP)       2631
                                Kennedy, Robert (Dem)       1216
    H-AL-07                       Sewell, Terri (Dem)          0
  Clay County, AL (fips:01027)
    G-AL                              Ivey, Kay (GOP)       4153
                                   Maddox, Walt (Dem)       1236
    H-AL-03                      Hagan, Mallory (Dem)       1045
                                   Rogers, Mike (GOP)       4321
  Cleburne County, AL (fips:01029)
    G-AL                              Ivey, Kay (GOP)       3902
                                   Maddox, Walt (Dem)        508
    H-AL-03                      Hagan, Mallory (Dem)        462
                                   Rogers, Mike (GOP)       3950
  Coffee County, AL (fips:01031)
    G-AL                              Ivey, Kay (GOP)      12064
                                   Maddox, Walt (Dem)       3755
    H-AL-02                      Isner, Tabitha (Dem)       4113
                                   Roby, Martha (GOP)      11703
  Colbert County, AL (fips:01033)
    G-AL                              Ivey, Kay (GOP)      13145
                                   Maddox, Walt (Dem)       7675
    H-AL-04                    Aderholt, Robert (GOP)      13659
                                     Auman, Lee (Dem)       6897
  Conecuh County, AL (fips:01035)
    G-AL                              Ivey, Kay (GOP)       2473
                                   Maddox, Walt (Dem)       2441
    H-AL-02                      Isner, Tabitha (Dem)       2460
                                   Roby, Martha (GOP)       2391
  Coosa County, AL (fips:01037)
    G-AL                              Ivey, Kay (GOP)       2781
                                   Maddox, Walt (Dem)       1521
    H-AL-06                       Kline, Danner (Dem)       1438
                                   Palmer, Gary (GOP)       2810
  Covington County, AL (fips:01039)
    G-AL                              Ivey, Kay (GOP)       9838
                                   Maddox, Walt (Dem)       2162
    H-AL-02                      Isner, Tabitha (Dem)       2357
                                   Roby, Martha (GOP)       9602
  Crenshaw County, AL (fips:01041)
    G-AL                              Ivey, Kay (GOP)       3869
                                   Maddox, Walt (Dem)       1522
    H-AL-02                      Isner, Tabitha (Dem)       1769
                                   Roby, Martha (GOP)       3576
  Cullman County, AL (fips:01043)
    G-AL                              Ivey, Kay (GOP)      24341
                                   Maddox, Walt (Dem)       4308
    H-AL-04                    Aderholt, Robert (GOP)      25226
                                     Auman, Lee (Dem)       3357
  Dale County, AL (fips:01045)
    G-AL                              Ivey, Kay (GOP)      10522
                                   Maddox, Walt (Dem)       3727
    H-AL-02                      Isner, Tabitha (Dem)       4257
                                   Roby, Martha (GOP)       9921
  Dallas County, AL (fips:01047)
    G-AL                              Ivey, Kay (GOP)       4914
                                   Maddox, Walt (Dem)      10284
    H-AL-07                       Sewell, Terri (Dem)          0
  DeKalb County, AL (fips:01049)
    G-AL                              Ivey, Kay (GOP)      17305
                                   Maddox, Walt (Dem)       4084
    H-AL-04                    Aderholt, Robert (GOP)      17457
                                     Auman, Lee (Dem)       3698
  Elmore County, AL (fips:01051)
    G-AL                              Ivey, Kay (GOP)      21743
                                   Maddox, Walt (Dem)       7711
    H-AL-02                      Isner, Tabitha (Dem)       8282
                                   Roby, Martha (GOP)      21009
  Escambia County, AL (fips:01053)
    G-AL                              Ivey, Kay (GOP)       8095
